,Country,accessibility_to_cities,elevation,aspect,slope,cropland_cover,tree_canopy_cover,isothermality,rain_coldestQuart,rain_driestMonth,rain_driestQuart,rain_mean_annual,rain_seasonailty,rain_warmestQuart,rain_wettestMonth,rain_wettestQuart,temp_annual_range,temp_coldestQuart,temp_diurnal_range,temp_driestQuart,temp_max_warmestMonth,temp_mean_annual,temp_min_coldestMonth,temp_seasonality,temp_warmestQuart,temp_wettestQuart,sub-region,Continent,Continent_color
0,Russia,2143.587912,448.53354169999994,178.456969,0.486310126,7.381209796,20.35647316,19.35171376,63.27918605,15.34518706,52.45074501,434.7292352,49.68574242,181.5754434,69.30780447,184.99782019999998,50.63119081,-24.74368593,9.922327688,-19.84740069,19.95267913,-6.261876315,-30.67851168,145.2214216,12.20695908,11.54956116,Eastern Europe,Europe,xkcd:blue
1,United States of America,638.7575393,759.2512262,166.5603824,0.529686762,19.7438699,16.72846247,32.95288154,141.82068030000002,28.787362400000003,100.50055959999999,671.9117326,43.41517081,198.8176868,93.48607266,249.42901780000003,39.05379633,-5.3883052110000005,12.75193874,1.420302587,26.77673145,6.602248261000001,-12.27706488,93.46060198,18.51898364,13.57927185,Northern America,North America,xkcd:yellow
2,Canada,3220.715175,508.28476330000007,169.2907919,0.397220485,3.7963404919999997,20.58747625,19.86286345,80.93746455,19.61225206,66.22098278,453.3184227,46.83796493,161.861002,64.99570701,177.36125,45.96372379,-23.19377971,9.232453946,-19.12040969,16.42866105,-6.83168979,-29.53506274,128.9347833,9.503739868,7.64933066,Northern America,North America,xkcd:yellow
3,Antarctica,,,,,0.0,,,,,,,,,,,,,,,,,,,,,Antarctica,Antarctica,xkcd:grey
4,Indonesia,504.88480719999995,342.05368819999995,168.270799,0.909755385,13.24086609,55.4788821,84.94240233,673.0787195,136.17402959999998,449.847542,2728.355157,29.43656559,677.4705708,326.2162101,904.1117108999999,10.00434575,24.39624844,8.508099615,24.8275285,30.13380102,24.99332749,20.12945527,4.163967777,25.39201881,24.93423673,South-eastern Asia,Asia,xkcd:red
5,China,466.56690199999997,1788.508668,169.09815580000003,0.943246708,22.18347547,11.57931347,30.94554584,34.73668628,8.319758871,30.97523809,561.2715803,89.45302999,291.043886,120.60677009999999,306.5845506,39.91131351,-7.043608557000001,12.19498435,-5.765483845,25.19088704,6.362945884,-14.72042648,98.90280353,18.39789749,17.67292216,Eastern Asia,Asia,xkcd:red
6,India,91.38082383,583.1465274,176.3244957,0.520001904,64.34377274,9.07738911,44.10012236,74.19189896,3.794327212,23.849570999999997,1110.0106779999999,114.9534565,294.33722539999997,309.20875,760.3164576,27.21371722,17.68766641,11.83342982,21.13888041,37.03347763,23.96363335,9.819760411,45.54437374,29.49096201,26.08298136,Southern Asia,Asia,xkcd:red
7,Mongolia,710.3662001,1494.5933630000002,175.1769269,0.816572192,0.877800591,2.433120377,26.88386763,6.298572765,1.58168752,6.166105097999999,194.78134709999998,105.1421754,133.3637895,55.07452647,133.36927509999998,50.61461846,-18.31295089,13.795700400000001,-16.78419982,24.10723656,-0.091585537,-26.507381899999995,134.85386709999997,16.3809064,16.36940113,Eastern Asia,Asia,xkcd:red
8,Australia,845.8680185000001,278.031714,183.02504309999998,0.089268073,7.938567206,6.056155479,49.69498141,68.50573359,11.5888329,42.90343014,467.5080881,59.33697509,170.6449075,89.63447645,234.7329262,28.09456395,14.70953766,13.98006739,18.61899367,35.18607871,21.46661781,7.091514759,49.75148677,27.37467162,24.35021582,Australia and New Zealand,Australia and Oceania,xkcd:orange
9,Kiribati,5805.65,0.925385577,151.6202365,0.0,0.0,15.35335689,90.64992164,494.4854312,83.84292703,289.2631192,1672.919683,29.42550701,347.6011185,206.2919017,560.0284107000001,6.066974057,28.07640708,5.522858606000001,28.29231121,31.40670685,28.25695724,25.33973295,1.385760289,28.37754508,28.16727864,Micronesia,Australia and Oceania,xkcd:orange
10,Mexico,191.3376166,1039.715495,172.5050984,1.03146858,12.71263489,16.22337119,58.67563951,74.17182955,10.58229837,41.15442802,771.5138685,85.71436178,275.6679393,165.895391,426.6518895,25.93124079,15.32372458,15.00428074,18.71459784,32.98682745,20.34591163,7.055586665,37.372007700000005,24.78395809,23.46507731,Latin America and the Caribbean,Latin America,xkcd:green
11,Brazil,736.7297988,326.64308430000006,176.1375279,0.160652538,17.28233628,39.17523662,72.73447271,366.6266717,39.31327957,141.17179480000001,1752.792411,60.92778773,370.3704209,277.1211893,761.9858098,15.49870416,22.949019,11.10849971,23.68000754,32.01369408,24.44774936,16.51498992,10.75879482,25.62179487,24.75486118,Latin America and the Caribbean,Latin America,xkcd:green
12,Chile,425.87858830000005,1095.077168,208.2261466,1.588154415,6.3897456660000005,22.30922269,54.73443945,349.4240795,51.87831519,174.78823930000001,1047.308761,60.47595362,199.6102916,140.7162405,389.81022210000003,18.81186342,4.653303611,10.56684351,10.19637446,18.70599026,8.598991694,-0.10587316599999999,30.02173796,12.36452581,7.426599321,Latin America and the Caribbean,Latin America,xkcd:green
13,Argentina,209.21957969999997,682.7992532000001,145.0314124,0.623855295,21.9625038,8.83360958,49.85147217,79.08767549,17.18321136,60.48630463,539.8724686,48.32124188,183.1381597,79.21688648,211.71207310000003,26.77335546,8.023890555,13.461877,11.09496006,28.21618946,14.20719218,1.4428339959999998,47.56007219,20.17116935,16.47762934,Latin America and the Caribbean,Latin America,xkcd:green
14,Mali,1821.7743280000002,321.33763419999997,176.57228,0.015913345,3.441976025,1.02830754,52.51507852,3.5178440419999997,0.057845167999999995,0.42486686799999995,319.2817825,131.31750929999998,50.56501979,103.7708084,241.67892400000002,29.58746084,22.14257432,15.44438087,25.24398394,42.243055700000006,28.249699,12.65559486,44.41116404,33.468711,31.11719642,Sub-Saharan Africa,Africa,xkcd:purple
